价格,网址,商品名称,裸机重量,厚度,屏幕尺寸,待机时长,屏幕色域,系统,处理器,内存,固态硬盘,显卡
6199,//item.jd.com/100021592020.html,微星武士GF系列,none,20.0mm以上,15.0-15.9英寸,none,72%NTSC,Windows 10 不带Office,Intel i5,16GB,512GB,RTX3050
,,,,,,,,,,,,
7999,//item.jd.com/100026163644.html,华为MateBook 13s,1-1.5kg,15.1-18.0mm,13.0-13.9英寸,none,100%sRGB,Windows 10,Intel i7,16GB,512GB,集成显卡
,,,,,,,,,,,,
9999,//item.jd.com/100011742405.html,ROG幻13,1-1.5kg,15.1-18.0mm,13.0-13.9英寸,none,none,Windows 10 不带Office,AMD R9,16GB,none,RTX3050Ti
,,,,,,,,,,,,
4499,//item.jd.com/100018838168.html,戴尔Ins 14-5405-R2602S,none,15.1-18.0mm,14.0-14.9英寸,none,none,Windows 10 带Office,AMD R5,16GB,512GB,none
,,,,,,,,,,,,
4999,//item.jd.com/100017442148.html,ThinkPadE14,1.5-2kg,15.1-18.0mm,14.0-14.9英寸,none,100%sRGB,Windows 10 带Office,Intel i5,8GB,512GB,none
,,,,,,,,,,,,
5299,//item.jd.com/100021942376.html,小米15寸 5,none,15.1-18.0mm,15.0-15.9英寸,none,none,Windows 10 带Office,AMD R5,16GB,none,none
,,,,,,,,,,,,
6599,//item.jd.com/100025794908.html,华硕天选,2-2.5kg,20.0mm以上,15.0-15.9英寸,小于5小时,none,Windows 10 不带Office,AMD R7,16GB,512GB,RTX3050
,,,,,,,,,,,,
7499,//item.jd.com/100023344966.html,戴尔G15 5511,none,20.0mm以上,15.0-15.9英寸,none,none,Windows 10 带Office,Intel i7,16GB,512GB,RTX3050
,,,,,,,,,,,,
6899,//item.jd.com/100022426394.html,华硕天选,2-2.5kg,20.0mm以上,15.0-15.9英寸,none,45%NTSC,Windows 10 不带Office,Intel i5,16GB,512GB,RTX3050Ti
,,,,,,,,,,,,
6999,//item.jd.com/100014017199.html,华为MateBook 13s,1-1.5kg,15.1-18.0mm,13.0-13.9英寸,none,100%sRGB,Windows 10,Intel i5,16GB,512GB,集成显卡
,,,,,,,,,,,,
6499,//item.jd.com/100015419352.html,none,none,none,none,none,none,none,none,none,none,none
,,,,,,,,,,,,
5499,//item.jd.com/10033909772792.html,ThinkPad联想ThinkBook14,1.5-2kg,15.1-18.0mm,14.0-14.9英寸,none,100%sRGB,Windows 10 带Office,Intel i5,16GB,512GB,none
,,,,,,,,,,,,
5099,//item.jd.com/100016777700.html,戴尔Vostro 14-3400,none,18.1-20.0mm,14.0-14.9英寸,none,none,Windows 10 带Office,Intel i7,16GB,512GB,none
,,,,,,,,,,,,
6999,//item.jd.com/100011483889.html,ThinkPadThinkBook 15,1.5-2kg,15.1-18.0mm,15.0-15.9英寸,none,100%sRGB,Windows 10 带Office,Intel i7,16GB,512GB,MX450
,,,,,,,,,,,,
6299,//item.jd.com/100022195792.html,联想YOGA,none,15.1-18.0mm,14.0-14.9英寸,none,72%NTSC,Windows 10 带Office,AMD R7,16GB,512GB,none
,,,,,,,,,,,,
6599,//item.jd.com/100012301257.html,神舟S7T- TA7NP,none,20.0mm以上,15.0-15.9英寸,小于5小时,none,Windows 10 不带Office,Intel i7,16GB,512GB,RTX3050Ti
,,,,,,,,,,,,
6399,//item.jd.com/100022003014.html,神舟Z7-TA7NP,2-2.5kg,20.0mm以上,15.0-15.9英寸,小于5小时,none,Windows 10 不带Office,Intel i7,16GB,512GB,RTX3050
,,,,,,,,,,,,
4699,//item.jd.com/10025743152718.html,none,none,none,none,none,none,none,none,none,none,none
,,,,,,,,,,,,
4899,//item.jd.com/100022974648.html,none,none,none,none,none,none,none,none,none,none,none
,,,,,,,,,,,,
5499,//item.jd.com/100023584910.html,神舟S7-TA5NB,none,20.0mm以上,15.0-15.9英寸,none,none,Windows 10 不带Office,Intel i5,8GB,512GB,RTX3050
,,,,,,,,,,,,
9199,//item.jd.com/100013404039.html,ThinkPadP15v,none,20.0mm以上,15.0-15.9英寸,none,none,Windows 10 带Office,Intel i7,16GB,512GB,none
,,,,,,,,,,,,
5199,//item.jd.com/100019867006.html,联想小新Air,none,15.1-18.0mm,15.0-15.9英寸,none,100%sRGB,Windows 10 带Office,AMD R7,16GB,512GB,none
,,,,,,,,,,,,
8999,//item.jd.com/100014229511.html,none,none,none,none,none,none,none,none,none,none,none
,,,,,,,,,,,,
5299,//item.jd.com/10030429992208.html,惠普（HP）青春版15s,1.5-2kg,15.1-18.0mm,15.0-15.9英寸,none,45%NTSC,Windows 10 带Office,Intel i5,16GB,512GB,none
,,,,,,,,,,,,
6469,//item.jd.com/100021647678.html,雷神911Air星战,2-2.5kg,20.0mm以上,15.0-15.9英寸,5-7小时,none,Windows 10 不带Office,Intel i7,16GB,512GB,RTX3050
,,,,,,,,,,,,
8999,//item.jd.com/100012562033.html,戴尔Ins 15-7510-R1845S,none,15.1-18.0mm,15.0-15.9英寸,none,none,Windows 10 带Office,Intel i7,16GB,512GB,none
,,,,,,,,,,,,
